ncsubj;;broke;3;car;2;_
iobj;;broke;3;in;5;
dobj;;in;5;park;8;
det;;park;8;the;6;
ncmod;_;park;8;car;7;
ncmod;prt;broke;3;down;4;
det;;car;2;the;0;
ncmod;;car;2;old;1;
;;;;;;
dobj;;at;1;least;2;
ncmod;_;two;3;at;1;
ncsubj;;and;7;men;4;_
conj;;and;7;broke;5;
conj;;and;7;stole;8;
dobj;;stole;8;TV;10;
det;;TV;10;my;9;
ncmod;prt;broke;5;in;6;
ncmod;num;men;4;two;3;
;;;;;;
ncsubj;;was;2;it;1;_
xcomp;;was;2;car;6;
ncmod;poss;car;6;aunt;4;
cmod;_;car;6;sold;9;
dobj;;sold;9;which;7;
ncsubj;;sold;9;we;8;_
ncmod;_;sold;9;year;13;
ncmod;_;sold;9;in;14;
dobj;;in;14;February;15;
ncmod;_;year;13;last;12;
ncmod;_;sold;9;at;10;
dobj;;at;10;auction;11;
det;;aunt;4;my;3;
;;;;;;
conj;;but;8;occur;6;
conj;;but;8;cause;9;
dobj;;devastation;10;cause;9;
nbsubj;;strains;12;devastation;10;_
cmod;that;devastation;10;strains;12;
dobj;;strains;12;resources;13;
pmod;;strains;12;to;14;
dobj;;to;14;point;16;
ncmod;_;point;16;breaking;15;
ncmod;_;disasters;2;natural;1;
ncsubj;;but;8;disasters;2;_
ncmod;_;occur;6;infrequently;7;
ta;bal;disasters;2;storms;3;
ta;bal;disasters;2;flooding;4;
ta;bal;disasters;2;hurricanes;5;
;;;;;;
conj;;but;5;rain;4;
conj;;but;5;be;8;
ncsubj;;be;8;there;6;_
cmod;_;be;8;if;13;
ccomp;;if;13;stays;16;
ncsubj;;stays;16;temperature;15;_
iobj;_;stays;16;about;17;
dojb;_;about;17;same;19;
det;;same;19;the;18;
ncmod;_;stays;16;over;20;
dobj;;over;20;hours;24;
ncmod;_;hours;24;next;22;
ncmod;num;hours;24;24;23;
det;;hours;24;the;21;
det;;temperature;15;the;14;
ncmod;_;be;8;on;10;
dobj;;on;10;ground;12;
ncmod;_;ground;12;high;11;
aux;;be;8;might;7;
xcomp;;be;8;snow;9;
ncsubj;;rain;4;it;1;_
aux;;rain;4;will;2;
ncmod;_;rain;4;not;3;
;;;;;;
ncmod;_;and;24;among;34;
dobj;;among;34;others;35;
ta;brack;there;27;are;29;
ncsubj;;are;29;there;28;_
dobj;;are;29;but;31;
conj;;but;31;horses;30;
ncmod;_;unicorns;33;not;32;
conj;;but;31;unicorns;33;
ta;quote;ellip;;there;27;
conj;;and;24;there;27;
det;;there;27;the;25;
ncmod;;there;27;existential;26;
ta;brack;markers;20;thank;22;
dobj;;thank;22;you;23;
ta;brack;markers;20;please;21;
ncmod;_;markers;20;politeness;19;
ncmod;_;has;3;also;2;
dobj;;has;3;words;5;
conj;;or;8;more;7;
conj;;or;8;less;9;
ncmod;_;unique;10;or;8;
iobj;;words;5;of;6;
dobj;;of;6;function;11;
ncmod;_;function;11;unique;10;
xcomp;_;function;11;including;12;
ncsubj;;has;3;English;1;_
ncmod;_;words;5;many;4;
dobj;;including;12;and;24;
conj;;and;24;interjections;13;
conj;;and;24;negatives;16;
conj;;and;24;markers;20;
ta;brack;interjections;13;oh;14;
ta;brack;interjections;13;ah;15;
ta;brack;negatives;16;no;14;
ta;brack;negatives;16;not;15;
;;;;;;
ncmod;_;provide;31_VV0;also;30_RR;
iobj;;provide;31_VV0;for;34_IF;
dobj;;provide;31_VV0;feature+s;33_NN2;
dobj;;for;34_IF;tagger+s;36_NN2;
ncmod;_;tagger+s;36_NN2;automatic;35_JJ;
ncmod;_;feature+s;33_NN2;useful;32_JJ;
conj;;"\;";;give;16_VV0;
conj;;"\;";;require+s;3_VVZ;
conj;;and;27;that;19;
conj;;and;27;that;28;
ncsubj;;provide;31_VV0;that;28;_
aux;;provide;31_VV0;can;29_VM;
ncsubj;;give;16_VV0;manual+s;10_NN2;_
dobj;;give;16_VV0;heuristic+s;18_NN1;
ncsubj;;make;24_VV0;coder+s;23_NN2;_
dobj;;make;24_VV0;decision+s;26_NN2;
det;;decision+s;26_NN2;these;25_DD2;
ncmod;_;heuristic+s;18_NN1;various;17_JJ;
ncsubj;;help;21_VV0;that;19;_
cmod;that;heuristic+s;18_NN1;and;27;
aux;;help;21_VV0;can;20_VM;
dobj;;help;21_VV0;coder+s;23_NN2;
ncmod;_;coder+s;23_NN2;human;22_JJ;
ta;brack;manual+s;10_NN2;Santorini;12_NP1;
ncmod;_;Santorini;12_NP1;1990\;14_MC;
ncmod;_;manual+s;10_NN2;tag+ing;9_VVG;
xsubj;;require+s;3_VVZ;make+ing;0_VVG;_
dobj;;require+s;3_VVZ;knowledge;5_NN1;
ncmod;_;knowledge;5_NN1;sophisticated;4_JJ;
ncmod;_;knowledge;5_NN1;of;6_IO;
dobj;;of;6_IO;syntax;7_NN1;
dobj;;make+ing;0_VVG;decision+s;2_NN2;
det;;decision+s;2_NN2;these;1_DD2;
;;;;;;
ta;bal;o1;24;o2;24;
ta;bal;o2;24;oT;24;
conj;;and;18;HMM;17;
conj;;and;18;sequence;20;
ncmod;_;sequence;20;O;24;
ncmod;_;O;24;=;24;
ncmod;_;=;24;;24;
det;;sequence;20;a;19;
iobj;;sequence;20;of;21;
dobj;;of;21;words;23;
passive;;observed;22;;;
ncsubj;;observed;22;words;23;obj
ncmod;_;words;23;observed;22;
ncmod;_;HMM;17;single;16;
det;;version;4;the;1;
ncmod;_;version;4;simplified;3;
ncmod;_;simplified;3;slightly;2;
ncmod;_;version;4;of;5;
dobj;;of;5;algorithm;8;
det;;algorithm;8;the;6;
ncmod;_;algorithm;8;Viterbi;7;
cmod;that;algorithm;8;present;11;
dobj;;present;11;that;9;
ncsubj;;present;11;we;10;_
iobj;;takes;12;as;13;
dobj;;as;13;input;14;
dobj;;takes;12;and;25;
det;;HMM;17;a;15;
ncsubj;;and;25;version;4;_
conj;;and;25;takes;12;
conj;;and;25;returns;26;
dobj;;with;35;probability;37;
det;;probability;37;its;36;
ta;bal;q1;33;q2;33;
ta;bal;q2;33;qT;33;
ncmod;_;sequence;32;Q;33;
ncmod;_;Q;33;=;33;
dobj;;returns;26;sequence;32;
det;;sequence;32;the;27;
ncmod;_;sequence;32;/;30;
conj;;/ ;30;state ;30;
conj;;/ ;30;tag ;31;
ncmod;_;probable;29;most;28;
ncmod;_;sequence;32;probable;29;
ncmod;_;sequence;32;with;35;
pcomp;;together;34;with;35;
;;;;;;
ncmod;_;object+s;10_NN2;such;11_DA;
ncmod;_;such;11_DA;as;12_CSA;
dobj;;as;12_CSA;basket+s;15_NN2;
ncmod;_;basket+s;15_NN2;wickerwork;13_NN1;
ncmod;_;basket+s;15_NN2;picnic;14_NN1;
ncsubj;;and;5_CC;skill;2_NN1;
conj;;and;5_CC;be+s;3_VBZ;
conj;;and;5_CC;give+s;6_VVZ;
obj2;;give+s;6_VVZ;object+s;10_NN2;
dobj;;give+s;6_VVZ;we+;7_PPIO2;
ncmod;_;object+s;10_NN2;many;8_DA2;
ncmod;_;object+s;10_NN2;useful;9_JJ;
dojb;;be+s;3_VBZ;craftsmanship;4_NN1;
dobj;;without;1_IW;imagination;2_NN1;
ncmod;_;skill;0_NN1;without;1_IW;
;;;;;;
ncmod;_;art;6_NN1;modern;5_JJ;
iobj2;;give+s;3_VVZ;art;6_NN1;
ncsubj;;give+s;3_VVZ;imagination;0_NN1;_
dobj;;give+s;3_VVZ;we+;4_PPIO2;
dobj;;without;1_IW;skill;2_NN1;
ncmod;_;imagination;0_NN1;without;1_IW;
;;;;;;
ncmod;_;focus;12_VV0;instead;0_RR;
ncmod;_;focus;12_VV0;with;17_IW;
dobj;;with;17_IW;exception;19_NN1;
det;;exception;19_NN1;the;18_AT;
ncmod;_;exception;19_NN1;of;20_IO;
dobj;;of;20_IO;week+s;23_NNT2;
ncmod;poss;week+s;23_NNT2;sponsor+s;21_NN2;
cmod;_;week+s;23_NNT2;when;25_RRQ;
ncsubj;;convince;29_VV0;they;26_PPHS2;_
ncmod;prt;have;27_VH0;to;;
aux;;convince;29_VV0;have;27_VH0;
dobj;;convince;29_VV0;company+s;30_NNJ2;
conj;;or;33_CC;start;32_VV0;
conj;;or;33_CC;continue;34_VV0;
xcomp;to;convince;29_VV0;or;33_CC;
ncsubj;;or;33_CC;company+s;30_NNJ2;_
dobj;;or;33_CC;support;36_NN1;
det;;support;36_NN1;their;35_APP$;
ncsubj;;focus;12_VV0;and;9_CC;_
aux;;focus;12_VV0;can;11_VM;
iobj;;focus;12_VV0;on;13_II;
dobj;;on;13_II;project;15_NN1;
det;;project;15_NN1;their;14_APP$;
det;;faculty;8_NN1;the;7_AT;
conj;;and;9_CC;faculty;8_NN1;
conj;;and;9_CC;student+s;10_NN2;
pmod;;instead;0_RR;of;1_IO;
xcomp;_;of;1_IO;worry+ing;3_VVG;
ncmod;_;worry+ing;3_VVG;constantly;2_RR;
iobj;;worry+ing;3_VVG;about;4_II;
dobj;;about;4_II;funding;5_NN1;